wavelength,amplitude,ref_index
0.9125470566,4566.233603849365,112.0
0.9227029416,592.290995106766,116.0
0.9356784504,73.56523891222103,127.0
0.9660434566,1538.0363576860648,144.0
0.9787185098,215.26872789340936,147.0
1.014253,60.114750644466525,160.0
1.047292175,432.97485288781206,177.0
1.067649018,71.61757702247824,182.0
1.1290200000000001,31.440975339512345,194.0
1.149125326,27.58890415077729,202.0
1.1671903270000001,19.50987129164434,206.0
1.211563893,14.187618913782027,225.0
1.240622137,28.983859929339125,236.0
1.244272458,45.71683445749598,239.0
1.245952213,10.87613065700585,240.0
1.2491079809999999,18.66301202570485,241.0
1.270575541,12.670007404391688,247.0
1.29602022,26.419556759866893,252.0
1.321760527,9.082742491220202,258.0
