wavelength,amplitude
0.9125470566,5848.525562072105
0.9197161388,17.244083800169108
0.9227029416,929.615475837177
0.9294081082999999,15.96610137515876
0.9356784504,123.19530090128868
0.9660434566,2156.036108701148
0.9787185098,398.42890952494525
1.047292175,634.0890023889825
1.067649018,141.80738607008314
1.068469788,18.781706194513728
1.1081901680000001,11.640310986194892
1.1491252730000001,42.203813284639956
1.149125326,29.93780293725865
1.1671903270000001,39.925508679927894
1.211563893,30.49019282652264
1.214305932,11.259724544000502
1.2346768879999999,17.69041109606846
1.240622137,55.546945458480565
1.244272458,77.69192321953228
1.245952213,23.27552324634738
1.2491079809999999,40.01993068178853
1.270575541,24.42120995428082
1.280623879,19.660098211126726
1.29602022,46.20814914590028
1.301182163,10.886285935678037
1.321760527,15.028742551525067
1.327626487,17.88286335510083
1.331685062,10.588870528569624
1.337076613,9.312305638808802
